ID,State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
2500-2737,2500,7/13/2021,11.2,12.4,6.69,23.9,13.6,-0.586,-19.7,20.5,27.9
3400-2738,3400,7/13/2021,15.2,13,37.4,33.5,9.42,-1.12,-8.99,23,36
3600-2739,3600,7/13/2021,11.6,9.87,1.11,26.7,12.9,-2.06,-15.7,19.5,25.1
4400-2740,4400,7/13/2021,14.5,-5.24,13.9,25.5,20.9,29.6,94.9,24,26.9
900-2741,900,7/14/2021,8.9,8.63,-4.87,17.8,20.4,-4.28,-19.9,17.5,15.5
2500-2742,2500,7/14/2021,11.8,12.1,4.53,24.9,13.2,-0.358,-19.5,19.2,25.7
3400-2743,3400,7/14/2021,14.4,12.6,34.6,33,8.35,-1.65,-8.84,22.1,35.4
3600-2744,3600,7/14/2021,10.7,9.5,-0.32,25.6,11.2,2.14,-16.9,17.9,23.6
4400-2745,4400,7/14/2021,14.2,-3.71,9.47,23.2,21.1,-9.13,64.4,20.3,19.8
900-2746,900,7/15/2021,7.93,10.3,-3.83,18.5,17.8,1.91,-21.8,17.4,16.9
2500-2747,2500,7/15/2021,12.3,13.3,0.753,23.1,12.1,9.81,-18.3,17.4,22.9
3400-2748,3400,7/15/2021,15,13,33.5,33.9,8.46,1.23,-8.71,22.4,36
3600-2749,3600,7/15/2021,11.7,10.6,2.18,27.7,11.5,4.47,-16.4,19.2,25.8
4400-2750,4400,7/15/2021,13.1,-4.21,-6.85,19,17.4,-9.84,36.4,18.3,19.5
900-2751,900,7/16/2021,7.89,10.8,7.7,20.2,20.9,8.13,-20.7,18,16
2500-2752,2500,7/16/2021,11.9,14.8,2.08,23.7,13.7,16.2,-21.4,18.2,22.8
3400-2753,3400,7/16/2021,15.2,12.5,32.8,33.4,9.13,2.91,-5.54,22.8,36
3600-2754,3600,7/16/2021,12.6,11.7,6.88,27.8,11.7,9.4,-14,19.2,25.6
4400-2755,4400,7/16/2021,10.6,-4.06,-3.02,12.5,23.6,-10.5,39.1,21.6,20.1
900-2756,900,7/17/2021,7.89,11.7,12.4,19.6,20.4,11.8,-22.8,18.4,17
2500-2757,2500,7/17/2021,12.7,16.2,8.89,23.1,14.3,15.6,-22.8,17.8,21.4
3400-2758,3400,7/17/2021,15.9,13.2,29.8,32.7,10.4,8.32,-6.72,22.9,34.9
3600-2759,3600,7/17/2021,13.5,11.8,7.99,28.4,12.2,11.1,-13.5,20.4,27.5
4400-2760,4400,7/17/2021,13.1,-0.144,-8.95,7.95,24.8,-11.3,49.5,22.2,20.2
900-2761,900,7/18/2021,9.15,13.2,16.8,20.2,22.7,13.1,-25.4,19.5,17.4
2500-2762,2500,7/18/2021,14,18.7,13,25.9,15,16.8,-24.4,18.5,22.1
3400-2763,3400,7/18/2021,17.2,14.8,28.7,32.8,12.2,11.3,-4.21,23.7,34.7
3600-2764,3600,7/18/2021,14,12.6,9.73,28.4,12.5,18.8,-13.3,20.4,27.2
4400-2765,4400,7/18/2021,14.7,3.01,-24.1,4.66,28.7,-12,70.3,25.3,23
900-2766,900,7/19/2021,9.01,12.8,15.1,22.1,23.2,10,-26.4,21.2,20
2500-2767,2500,7/19/2021,14,17.7,14.2,28.3,14.9,16.8,-24,19.3,23.8
3400-2768,3400,7/19/2021,17.6,15.8,26.2,31.9,13.5,12.3,-4.45,23.9,33.8
3600-2769,3600,7/19/2021,14.1,12.2,8.92,28.3,12.8,19.7,-13.5,20.8,27.8
4400-2770,4400,7/19/2021,14.3,1.89,-24.1,4.48,28.2,-16.2,69.4,22.9,18.5
900-2771,900,7/20/2021,9.15,12.9,19.4,20.4,21.1,9.18,-29.3,19.3,18.1
2500-2772,2500,7/20/2021,14.3,18.1,14.7,26.9,16.5,16.4,-23.5,19.4,22.3
3400-2773,3400,7/20/2021,17.9,16.5,24,31.5,13.9,10.6,-4.3,24.1,33.7
3600-2774,3600,7/20/2021,14.1,12.4,9.27,28.3,13.5,18.4,-15.7,21.4,28.4
4400-2775,4400,7/20/2021,11.8,-0.406,-22.6,-7.09,26.9,-30.5,31,17.2,8.26
900-2776,900,7/21/2021,8.85,13.3,18.6,20.4,24,9.75,-33.2,19.3,16.4
2500-2777,2500,7/21/2021,13.9,18.6,17.1,26,17.9,18.8,-24.6,20.3,22.8
3400-2778,3400,7/21/2021,18,16.8,25.6,30.4,15.1,10.9,-4.02,24.3,33.1
3600-2779,3600,7/21/2021,14.4,13.3,10.7,28.8,14.2,15,-14.1,22.3,29.4
4400-2780,4400,7/21/2021,11.4,2.43,-25.5,-8.5,28.8,-37.9,65.6,16.3,4.44
900-2781,900,7/22/2021,11,13.2,26.9,22.9,23.7,16.3,-31.2,19.4,16.7
2500-2782,2500,7/22/2021,14.5,16.8,26,25,18.3,18.7,-27.6,21.6,25.1
3400-2783,3400,7/22/2021,18.8,16.4,29.5,30.2,16.7,13.3,-4.24,25.8,34.6
3600-2784,3600,7/22/2021,14.5,13.5,10.8,27.1,14.4,15.6,-12.8,22,28.7
4400-2785,4400,7/22/2021,10.8,1.95,-14.8,-6.93,28.8,-47,141,15.1,1.98
900-2786,900,7/23/2021,11.6,13.7,13.4,23.8,21.9,17.1,-35.7,20.9,20.3
2500-2787,2500,7/23/2021,15.8,16.2,24.6,23.2,19.4,21,-25.2,22.8,26.4
3400-2788,3400,7/23/2021,19.2,17.3,30.9,29.3,17.2,16,-6.62,25.5,33.5
3600-2789,3600,7/23/2021,13.8,13.3,1.34,26.9,14.7,10.6,-14.9,21.9,28.1
4400-2790,4400,7/23/2021,12.8,5.19,-27.8,-2.92,24.7,-29.5,92.3,16,7.77
900-2791,900,7/24/2021,12.4,13.2,13.2,21.8,21,19.6,-33.6,19.3,18.2
2500-2792,2500,7/24/2021,15.8,12.7,20.2,22.2,16.9,22.7,-18.6,21.7,27
3400-2793,3400,7/24/2021,19.1,17.2,33,29,17.2,13.8,-7.62,25.5,33.4
3600-2794,3600,7/24/2021,13.4,12.6,0.0173,25.6,14,9.7,-16.1,21.1,27.2
4400-2795,4400,7/24/2021,13.9,3.62,-30.9,-1.11,21.7,-9.17,115,16.7,11.9
900-2796,900,7/25/2021,12.3,11.9,4.82,22.9,20.2,16,-32.5,20,19.8
2500-2797,2500,7/25/2021,15.6,11.2,15.8,23.2,17.3,27,-15.8,21.8,26.8
3400-2798,3400,7/25/2021,18.3,15.9,32.4,28.6,16.1,12.7,-7.38,24.3,32.2
3600-2799,3600,7/25/2021,13.3,10.4,-3.28,25.9,14.1,8.18,-15.8,21.3,27.6
4400-2800,4400,7/25/2021,7.57,-11.2,-31.8,3.27,16.9,-10.2,42.2,14.2,11.8
900-2801,900,7/26/2021,11.1,10.6,-0.0154,20.6,18,14.3,-31.9,18.2,18.3
2500-2802,2500,7/26/2021,16,10.7,15.7,21.1,17.6,27.3,-13.9,21.9,26.6
3400-2803,3400,7/26/2021,17.9,15.5,31.9,27.8,16.2,11.6,-7.38,24.3,32.1
3600-2804,3600,7/26/2021,13,11.7,-4.91,25.4,13.9,6.59,-16.3,21,27.3
4400-2805,4400,7/26/2021,4.96,-13.3,-24.1,8.07,15.8,-22.7,-11.7,14.9,14.5
900-2806,900,7/27/2021,11.7,12.3,-3.6,20.7,20.6,12.3,-28.5,20.5,20.4
2500-2807,2500,7/27/2021,15.4,10,13.7,21.1,17.5,29.4,-15.7,21.8,26.8
3400-2808,3400,7/27/2021,17.4,14.9,32.6,26.6,16.8,14.1,-6.83,24,30.9
3600-2809,3600,7/27/2021,12.4,11.4,-7.71,24.4,13.8,6.63,-16.2,21,27.3
4400-2810,4400,7/27/2021,6.07,-14.8,-9.39,10.9,20.3,-6.04,-7.39,18.6,17.1
900-2811,900,7/28/2021,13.1,13,-5.42,21.4,19.8,11.7,-24.7,21.5,22.6
2500-2812,2500,7/28/2021,14.8,10,11,18.7,17.4,31,-11.2,20.6,24.2
3400-2813,3400,7/28/2021,17.4,15.5,30.2,26.1,16.7,14.9,-8.29,23.5,30.1
3600-2814,3600,7/28/2021,11.8,10.5,-8.28,23.2,12.9,7.44,-19.1,20.2,26.5
4400-2815,4400,7/28/2021,3.57,-16,-16.3,10,18.4,-5.9,-23.4,17.2,16.3
900-2816,900,7/29/2021,12.6,12.9,-7.21,19.7,19.8,5.42,-23.9,23.3,25.7
2500-2817,2500,7/29/2021,14.9,8.54,13.4,19.5,17.6,27.9,-2.32,20.8,24.3
3400-2818,3400,7/29/2021,16.5,15.1,28,24.8,15.5,18.3,-9.3,22,28.3
3600-2819,3600,7/29/2021,12,9.91,-8.55,23.6,13.4,6.75,-21.1,20.3,26.3
4400-2820,4400,7/29/2021,7.59,-18.6,-10.8,14.8,17.7,60.4,-35.8,20.3,23.4
900-2821,900,7/30/2021,13.8,14.2,-1.44,18.1,21.5,4.74,-19.1,23.2,24.3
2500-2822,2500,7/30/2021,15.2,9.03,12.2,21.9,18.3,19.9,-6.87,20.8,23.5
3400-2823,3400,7/30/2021,16.2,14.6,28.9,24.6,16,17.4,-8.32,22.5,28.8
3600-2824,3600,7/30/2021,13.1,9.92,-5.95,24.6,14.3,13,-18.7,21.2,27.2
4400-2825,4400,7/30/2021,9.83,-18.8,-0.726,16.6,18.5,33.9,-5.23,18.3,18.3
900-2826,900,7/31/2021,14.4,16.8,-0.472,19.7,23.9,8.09,-21.6,24.5,25
2500-2827,2500,7/31/2021,14.7,10.1,15,21.9,20.3,17.2,-14.6,21.7,23.2
3400-2828,3400,7/31/2021,16.9,15.7,31.2,26.2,17.3,18.3,-8.41,24,30.4
3600-2829,3600,7/31/2021,13.6,11,-2.72,25.8,15,17.3,-18.3,21.8,27.8
4400-2830,4400,7/31/2021,10.5,-19.4,-2.14,14.8,19.4,26.2,-19.2,21.3,23.4
900-2831,900,8/1/2021,11.4,16.2,-6.1,15.1,21.2,9.19,-22.4,20.3,19.7
2500-2832,2500,8/1/2021,13.5,9.23,4.31,18.1,20.3,14.4,-18,20.6,20.8
3400-2833,3400,8/1/2021,15.8,16,17.3,26.7,17.9,19,-12.8,24.7,31.3
3600-2834,3600,8/1/2021,13.2,13,-6.71,25.1,15.5,17.3,-18.8,22,27.6
4400-2835,4400,8/1/2021,14.3,-4.68,-5.27,8.43,20.1,23.9,-7.47,20.2,20.4
900-2836,900,8/2/2021,12.3,16.7,-3.84,16.7,22.7,11.8,-19.7,21.4,20.4
2500-2837,2500,8/2/2021,13.7,7.96,4.92,19.2,21,19,-17.8,21.6,22.2
3400-2838,3400,8/2/2021,16.9,15.9,19.6,27.6,17.8,24.1,-10.8,24.8,31.4
3600-2839,3600,8/2/2021,14.1,12.8,-6.59,24.5,16.3,18.5,-17.9,21.8,26.5
4400-2840,4400,8/2/2021,12,-6.36,-10.5,3.27,22.2,24.9,23.2,21.7,21.4
900-2841,900,8/3/2021,13.2,16.8,-1.03,17.2,22.6,17.7,-18.5,21,19.9
2500-2842,2500,8/3/2021,15.4,8.17,7.31,19,21.8,20.7,-14,23,24.2
3400-2843,3400,8/3/2021,17.8,14.9,23.2,27.2,17.9,24.7,-9.18,24.8,31.3
3600-2844,3600,8/3/2021,16.1,13,-2.54,24.8,17.4,18.9,-15.2,22.4,26.7
4400-2845,4400,8/3/2021,14.9,-6.66,-21.3,1.68,17,21.3,19,15.4,13.8
900-2846,900,8/4/2021,14.2,17.7,2.24,20.5,23.6,16.4,-23.2,23.1,22.7
2500-2847,2500,8/4/2021,16.4,7.12,8.15,21.4,22,17.1,-15.8,25.3,28.7
3400-2848,3400,8/4/2021,18.3,13.7,23.1,29.8,17.7,24.7,-6.36,25.5,33
3600-2849,3600,8/4/2021,17,13.7,-2.71,26.4,17.8,18.1,-13.7,23,27.6
4400-2850,4400,8/4/2021,18.4,-6.62,-19.5,5.79,16.1,20.5,40.5,16.1,16.3
900-2851,900,8/5/2021,13.2,14.5,0.0243,21.6,23.2,10.6,-24.5,21.2,19.9
2500-2852,2500,8/5/2021,16.2,7.24,3.54,23.7,21.3,20.6,-21.3,25.1,28.8
3400-2853,3400,8/5/2021,18.5,13.2,22.5,31.7,17.5,21.2,-5.02,26,34
3600-2854,3600,8/5/2021,16.6,12.7,-3.62,26.5,17.1,16.4,-14.3,22.7,27.5
4400-2855,4400,8/5/2021,17.7,-6.17,-24.6,7.39,18.7,24.4,35.9,17.2,15.8
900-2856,900,8/6/2021,12,10.7,-2.32,21.9,20.8,9.18,-29.4,19.2,18.2
2500-2857,2500,8/6/2021,16.2,6.81,6.65,22.5,20.1,24.7,-17,24.7,29.4
3400-2858,3400,8/6/2021,18.7,12.3,20.3,31.7,16.5,21.3,-2.78,25.4,33.8
3600-2859,3600,8/6/2021,16,11.9,-3.6,24.8,16.7,11.8,-16.7,22,26.4
4400-2860,4400,8/6/2021,17.4,-8.89,-29.3,5.13,18.9,34.1,38.4,16.5,14.2
900-2861,900,8/7/2021,10.3,6.51,-3.46,21.8,19.7,-0.627,-30.4,19.1,18.7
2500-2862,2500,8/7/2021,16.3,6.99,4.03,21.4,19.5,31.1,-11.7,24.3,29.1
3400-2863,3400,8/7/2021,18.7,9.9,20.8,31.2,16,21.2,-0.344,25.1,33.7
3600-2864,3600,8/7/2021,15.9,10.5,-6.27,22.1,16.7,10.5,-16.8,21.3,25.2
4400-2865,4400,8/7/2021,16.8,-9.96,-23.3,6.9,18.8,49.5,66.7,15.6,12.4
900-2866,900,8/8/2021,12.6,7.55,5.85,24.8,21.2,-6.98,-31.3,22.6,23.4
2500-2867,2500,8/8/2021,16.9,8.74,17.8,21.5,18.3,26.8,-8.02,24.3,30.6
3400-2868,3400,8/8/2021,19.8,8.94,31.6,30.2,15.3,21.9,4.44,24.6,33.4
3600-2869,3600,8/8/2021,16.2,8.7,0.315,22,16.3,10.4,-17.5,20.5,24
4400-2870,4400,8/8/2021,16.9,-11.4,-21,10.1,16.5,40.2,85.5,14.9,13.8
900-2871,900,8/9/2021,11.8,7.99,3.77,24.7,20.9,-8.09,-33.9,21.5,21.9
2500-2872,2500,8/9/2021,15.9,11.1,17,20.4,17.3,24.2,-9.1,20.9,24.5
3400-2873,3400,8/9/2021,18.9,8.51,31,30.7,14.7,20.8,2.2,24.2,33.2
3600-2874,3600,8/9/2021,16.5,8.31,0.9,23,16.5,8.85,-17.9,21.1,24.9
4400-2875,4400,8/9/2021,23.3,-6.8,-16.1,12.4,18.8,59.1,108,13.2,7.58
900-2876,900,8/10/2021,10.7,6.79,0.468,24.8,20.3,-11.8,-37.6,21.8,22.8
2500-2877,2500,8/10/2021,14.2,10.4,14.6,21.3,17.8,19.8,-12.8,19.3,20.7
3400-2878,3400,8/10/2021,18.1,9.37,26.4,32.1,14,19.3,-0.0723,24,33.5
3600-2879,3600,8/10/2021,15.4,7.56,-2.42,22.1,15.8,8.68,-21.1,20.2,23.9
4400-2880,4400,8/10/2021,22.3,-4.6,-12.3,16.1,18,42.4,151,16,14.1
900-2881,900,8/11/2021,9.12,6.08,0.113,23.1,20.6,-9.74,-36,20.8,21
2500-2882,2500,8/11/2021,13.1,10.9,16.4,19,17.5,19.6,-15.5,15.8,13.8
3400-2883,3400,8/11/2021,18,9.83,25,29.9,14,19.1,-0.711,23.7,32.9
3600-2884,3600,8/11/2021,15,6.8,-4.67,20.7,15.8,9.08,-21.7,19.6,22.7
4400-2885,4400,8/11/2021,19,-5.61,-7.3,11.8,18.6,12.6,120,16.1,13.9
900-2886,900,8/12/2021,10.4,9.39,3.18,21.9,22.3,-2.54,-38.4,20.6,19.7
2500-2887,2500,8/12/2021,12.2,10.9,17.4,15.8,18.7,11.1,-16.8,14.3,9.29
3400-2888,3400,8/12/2021,18.2,10.3,27.5,28.6,14.6,15.4,-2.66,23.3,31.6
3600-2889,3600,8/12/2021,15.7,8.42,-3.74,19.6,16.6,8.98,-21.1,19.6,22
4400-2890,4400,8/12/2021,12.4,-6.01,-11,7.13,12.4,3.38,130,2.44,-6.62
900-2891,900,8/13/2021,9.94,10.7,0.787,19.2,24.3,-0.76,-38.9,20.7,18.5
2500-2892,2500,8/13/2021,10.5,10.7,15.9,14,18.8,5.23,-21.1,12.6,5.85
3400-2893,3400,8/13/2021,18.1,11.1,27,27.2,15.3,13.7,-5.14,22.8,30
3600-2894,3600,8/13/2021,15.6,8.58,-4.32,19.3,15.6,9.07,-19.1,19.4,22.5
4400-2895,4400,8/13/2021,20.6,-4.51,-5.95,7.84,12.8,-5.83,77,5.91,-0.158
900-2896,900,8/14/2021,11.7,12.5,-0.0286,19.2,26.3,0.393,-38.1,21.2,18.1
2500-2897,2500,8/14/2021,12.4,10,11.4,18.9,18.3,1.96,-25.4,18,17.6
3400-2898,3400,8/14/2021,17.9,12.4,23.1,27,15.5,12.6,-6.53,22.9,29.8
3600-2899,3600,8/14/2021,15.2,9.03,-3.45,21.2,16.3,9.32,-18.8,20.1,23.2
4400-2900,4400,8/14/2021,20.4,-2.99,-8.59,-5.18,9.6,-15,68.8,0.364,-7.17
900-2901,900,8/15/2021,12.1,13,-2.31,19.3,27.2,8.37,-38.7,20.1,15.8
2500-2902,2500,8/15/2021,12.2,10.1,5.69,20.3,18.9,2.1,-28.4,20,20.9
3400-2903,3400,8/15/2021,17.4,13.8,23.4,25.7,16,10.2,-8,22.5,28.5
3600-2904,3600,8/15/2021,14.7,10.2,-4.58,20.8,15.9,6.87,-18.3,20.4,24.1
4400-2905,4400,8/15/2021,20.1,-0.58,-4.99,-7.33,8.48,-24.2,48.5,-0.107,-6.65
900-2906,900,8/16/2021,11.7,12.4,1.49,20,26.7,5.96,-39.5,18.8,14
2500-2907,2500,8/16/2021,14.9,11,5.82,23.6,20,-1.25,-29.3,25.7,31.4
3400-2908,3400,8/16/2021,17.4,14.1,23.7,25.6,16.1,7.68,-8.04,22.1,27.7
3600-2909,3600,8/16/2021,13.8,9.68,-6.55,19.3,15,9.6,-19,19.5,23.1
4400-2910,4400,8/16/2021,15.8,-1.49,-5.66,-11.8,7,-18.8,12.4,-1.94,-8.82
900-2911,900,8/17/2021,10.5,13,1.6,18.2,27.5,8.08,-40.3,18.4,12.9
2500-2912,2500,8/17/2021,14,11.2,5.45,23,18.8,-3.57,-32,21.5,22.6
3400-2913,3400,8/17/2021,17.8,14.1,24.3,24.4,16.6,7.03,-8.78,22.7,28.2
3600-2914,3600,8/17/2021,13.2,9.42,-6.13,18.9,14.2,8.52,-19.4,19,22.9
4400-2915,4400,8/17/2021,12.4,-4.06,-5.88,-11.8,6.48,-14.2,-12.2,-1.87,-8.47
900-2916,900,8/18/2021,11.2,12.3,2.12,16.8,26.5,5.75,-43.1,18,12.8
2500-2917,2500,8/18/2021,13.9,11.8,-0.579,19.6,19.5,1.58,-30.9,20,18.7
3400-2918,3400,8/18/2021,18,14.2,26.2,24.7,16.8,9.19,-9.98,22.9,28.5
3600-2919,3600,8/18/2021,13.2,9.84,-4.19,19.4,14.5,10.1,-20.5,19.2,23
4400-2920,4400,8/18/2021,14.7,-2.14,-0.0731,-10.8,8.06,-8.07,-10.2,-1.59,-9.41
900-2921,900,8/19/2021,10.6,10.3,-4.26,15.7,23.9,6.61,-40.4,17.4,13.4
2500-2922,2500,8/19/2021,15.3,12.1,0.637,19.9,18,6.65,-32.2,21.5,23.1
3400-2923,3400,8/19/2021,18.1,13.9,24.4,25.4,17,14.5,-12.1,23.6,29.6
3600-2924,3600,8/19/2021,13.4,9.55,-5.97,19.7,14.6,13.3,-17.5,19.8,24
4400-2925,4400,8/19/2021,17.3,0.276,3.43,-4.73,1.73,-11.6,-22.5,6.06,11.1
900-2926,900,8/20/2021,12.9,9.89,-6.33,18.4,25.6,3.94,-35.5,21.1,18.3
2500-2927,2500,8/20/2021,18.2,11.5,-0.969,23.8,20.2,11,-31.6,25.9,29.8
3400-2928,3400,8/20/2021,17.7,13.2,25.4,25.9,16.5,14.1,-12.4,23.6,30
3600-2929,3600,8/20/2021,13.7,9.76,-8.02,20.5,16.7,17.2,-19.3,20.8,24.1
4400-2930,4400,8/20/2021,14.6,0.157,-5.89,-3.64,7.97,2.15,58.3,9.76,12
900-2931,900,8/21/2021,16.1,8.61,-5.64,19.7,32.7,6.98,-34.7,26.9,23.2
2500-2932,2500,8/21/2021,18.2,11.8,7.51,21.7,26.4,9.2,-32,25.4,24.1
3400-2933,3400,8/21/2021,17.9,11.5,28.1,27.1,17,16.9,-11.3,23.4,29.3
3600-2934,3600,8/21/2021,15.5,9.42,-7.71,21.3,19.7,19.3,-19.3,23.3,26.3
4400-2935,4400,8/21/2021,16.6,-3.72,-20,8.4,16.1,16.4,65.5,18.4,21
900-2936,900,8/22/2021,13,2.01,-12.3,13.7,23.7,5.4,-32.3,20.8,18.9
2500-2937,2500,8/22/2021,17.3,9.01,4.99,20.3,22.1,16.9,-30.9,22.3,22.4
3400-2938,3400,8/22/2021,18.3,9.37,28.7,27.5,15.2,19.6,-11.4,22.5,29.3
3600-2939,3600,8/22/2021,15.5,7.07,-9.47,18.6,17.7,24.1,-17.7,21.6,24.7
4400-2940,4400,8/22/2021,8.98,-14.3,-35.4,3.9,12.3,12.4,1.4,12.6,13.1
900-2941,900,8/23/2021,13.8,-0.0501,-19.8,11.8,23.4,5.61,-31.2,22.4,21.6
2500-2942,2500,8/23/2021,15.1,6.18,1.24,17.3,19.5,18.3,-31.3,17.8,16.5
3400-2943,3400,8/23/2021,17.8,7.91,26.3,27.6,15.8,20.4,-13.8,23.3,30.3
3600-2944,3600,8/23/2021,15.3,7.49,-12.1,18.8,17.8,23.9,-18.2,21.8,25.2
4400-2945,4400,8/23/2021,8.17,-19.3,-39.3,3.94,8.5,4.03,14.2,15.3,22.9
900-2946,900,8/24/2021,13.8,-1.98,-21,11.3,19.9,7.53,-31.3,19.8,19.5
2500-2947,2500,8/24/2021,16.1,6.96,1.58,17.8,19.8,20.6,-31.1,21,21.6
3400-2948,3400,8/24/2021,17.2,6.98,24.3,29,15.6,20.4,-15.2,23.2,30.1
3600-2949,3600,8/24/2021,15.8,7.82,-15,19.9,18.6,23.9,-18,23.2,27
4400-2950,4400,8/24/2021,4.75,-13,-50.1,3.89,8.05,-3.88,-8.3,13.8,19.9
900-2951,900,8/25/2021,13.3,-2.2,-21.4,9.88,16.9,11.4,-29.6,17.5,17.6
2500-2952,2500,8/25/2021,16.8,6.8,6.9,19.9,17.6,19.8,-32.7,22.6,26.5
3400-2953,3400,8/25/2021,16.7,6.59,26.5,27.2,15,18.1,-16.8,21.9,28.3
3600-2954,3600,8/25/2021,15.3,7.29,-15.8,18.6,17.7,22.1,-17.1,22.6,26.7
4400-2955,4400,8/25/2021,1.6,-17.4,-51.2,3.28,5.94,-20.5,-25.7,12.2,18.7
900-2956,900,8/26/2021,13.7,-2.81,-18.4,9.13,17.4,11,-30.7,17.9,18
2500-2957,2500,8/26/2021,16.7,6.95,4.8,20.4,19.2,18.5,-31.9,23.5,27.1
3400-2958,3400,8/26/2021,17,7.11,27.8,26.6,14.9,15.1,-14,21.6,27.8
3600-2959,3600,8/26/2021,15,6.18,-14.7,19.2,17.3,22.4,-19.1,22.4,26.5
4400-2960,4400,8/26/2021,0.962,-15.4,-48.7,-8.09,14.3,-8.92,-21.8,12.3,10.6
900-2961,900,8/27/2021,12.3,-2.59,-20.6,7.58,14.4,11.9,-33,14.8,14.9
2500-2962,2500,8/27/2021,14.7,7.12,8.95,16.8,16.8,22.9,-32.7,19.3,21.3
3400-2963,3400,8/27/2021,17.4,7.31,26.9,26.7,15.2,17.2,-13.8,22.2,28.7
3600-2964,3600,8/27/2021,14.4,5.77,-12.1,17.8,16,19.3,-17.5,21.2,25.5
4400-2965,4400,8/27/2021,-3.08,-16.6,-54.8,-7.42,6.83,-12.2,-66,9.11,11.1
900-2966,900,8/28/2021,9.44,-2.7,-20.6,7.72,6.86,13.4,-33.1,11.1,13.6
2500-2967,2500,8/28/2021,13.6,8.15,9.68,18.3,11.7,27.4,-29.5,15.5,18.9
3400-2968,3400,8/28/2021,17.2,8.02,25.6,27.7,14.6,16.9,-15,22.8,30.3
3600-2969,3600,8/28/2021,13.4,6.53,-11.9,18.1,12.2,20,-17.8,19.2,25
4400-2970,4400,8/28/2021,-3.7,-14.7,-50.4,-2.37,-1.94,-4.02,-65.7,7.1,15.3
900-2971,900,8/29/2021,11.6,2.7,-16.1,15.7,14.4,9.51,-36.2,17.9,20.1
2500-2972,2500,8/29/2021,14.9,9.82,10.8,22.2,16.3,21.4,-29.9,18.1,19.8
3400-2973,3400,8/29/2021,17.8,9.25,29.1,30.1,15.9,17,-15.5,24.4,32.1
3600-2974,3600,8/29/2021,14.2,7.84,-10.5,21.7,14.5,20.4,-17.6,21.3,26.8
4400-2975,4400,8/29/2021,5.91,-6.03,-37.4,11.1,5.45,27.3,-37.7,16.7,27.4
900-2976,900,8/30/2021,13.3,5.12,-13.8,19.8,15.5,8.85,-36.7,19.1,21.4
2500-2977,2500,8/30/2021,15.4,9.65,11.9,22.3,16.5,24.3,-27.8,19,21.5
3400-2978,3400,8/30/2021,17.6,8.38,29.5,28.6,13.9,20.8,-13.9,23.1,31.5
3600-2979,3600,8/30/2021,14.5,6.91,-6.37,20.5,13.4,19.4,-15.2,19.8,25
4400-2980,4400,8/30/2021,9.41,-2.29,-28,18.1,5.1,30.2,-32.9,16,26.9
900-2981,900,8/31/2021,14.6,5.36,-9.63,21.5,15.4,7.9,-33.2,21.2,25
2500-2982,2500,8/31/2021,16.4,8.01,10.3,22.9,15.8,36.3,-24.3,20.5,25.2
3400-2983,3400,8/31/2021,18.5,8.16,30.3,26.8,13.8,24.7,-13.1,22,29.5
3600-2984,3600,8/31/2021,15,6.34,-4.71,19.1,12.2,21.5,-14,18.1,22.9
4400-2985,4400,8/31/2021,11.9,-5.36,-27.9,15.7,6.58,28.5,-15.5,16.7,26.7
900-2986,900,9/1/2021,15.3,2.07,-19.8,22.4,18.1,9.45,-31.1,22.3,25.1
2500-2987,2500,9/1/2021,17.6,3.87,-2.64,22.4,18.8,39.5,-21.2,22.1,25.1
3400-2988,3400,9/1/2021,19.4,5.55,21.8,25.9,13.8,28.5,-9.1,21.1,27.8
3600-2989,3600,9/1/2021,16.1,5.79,-8.25,17.4,13.3,24.7,-8.45,17.5,20.8
4400-2990,4400,9/1/2021,16.2,1.32,-38.8,20.3,9.23,36.3,28.8,18.9,28.2
900-2991,900,9/2/2021,13.7,-1.22,-20,22.1,15.4,8.45,-31,21,24.7
2500-2992,2500,9/2/2021,17.6,2.69,-3.95,21.3,17.8,39.9,-19.3,20.9,23.9
3400-2993,3400,9/2/2021,17.9,3.13,19.5,23.9,12.3,25.9,-8.42,19.4,25.9
3600-2994,3600,9/2/2021,15.9,3.82,-8.21,15.4,12.2,22.1,-9.06,16.4,19.7
4400-2995,4400,9/2/2021,18.1,-0.923,-37.7,21.5,10.1,44.3,69.7,15.8,21.5
900-2996,900,9/3/2021,12.4,-3.82,-19.6,22.1,14.8,9.26,-30.8,21.4,25.7
2500-2997,2500,9/3/2021,18.3,2.24,-5.33,22.6,20,36.9,-19.1,22.9,25.7
3400-2998,3400,9/3/2021,17.9,1.66,17.1,24.1,13.3,23.7,-7.36,19.8,25.9
3600-2999,3600,9/3/2021,17,3.46,-7.46,15.5,12.6,20.4,-9.54,17,20.6
4400-3000,4400,9/3/2021,21.8,-1.89,-15.2,29.2,9.95,8.58,117,18.4,27.1
900-3001,900,9/4/2021,11,-1.83,-18.9,20.1,14.9,3.97,-31.1,19.1,21.9
